ID,NETWORK_STATE,RECEIPT_ID,ACCOUNT_ID,CATEGORY,IS_DOWN_PAYMENT,IS_TESTING
407056865,,412040503,5806731,,false,false
416528339,,421678919,5978729,,false,false
405087097,,410024446,6130551,,false,false
385748105,,390370190,5919393,,false,false
405093397,,410031389,5805537,,false,false
419667346,,424875188,6037582,,false,false
419666630,,424874442,5937820,,false,false
419685948,,424894464,6524220,,false,false
419667059,,424874890,6411628,,false,false
402941253,,407854390,6038651,,false,false
440645166,,446264615,6914515,,false,false
440335659,,445930627,5919516,,false,false
421869336,,427115009,5861852,,false,false
440364795,,445959761,5816752,,false,false
419681650,,424890035,6097041,,false,false
440366075,,445961052,5854668,,false,false
440340591,,445935526,5867144,,false,false
408138900,,413135667,5986247,,false,false
408014536,,413009866,6005199,,false,false
425951300,,431272128,5935022,,false,false
430616673,,436030235,5803358,,false,false
430640486,,436054205,6506173,,false,false
412705026,,417795218,5837924,,false,false
419666136,,424873938,6087213,,false,false
430646830,,436060576,6506173,,false,false
438610190,,444182446,5850263,,false,false
438610610,,444182878,5946609,,false,false
438620383,,444192946,6153386,,false,false
438621899,,444194490,5946235,,false,false
377670808,,382153072,5976748,,false,false
358551526,,362715893,5995058,,true,false
372109869,,376501309,5926174,,false,false
391003425,,395726960,5911581,,false,false
436667672,,442208513,6026664,,false,false
432214160,,437684970,6631579,,false,false
440338900,,445933848,6778354,,false,false
432211918,,437682658,6137487,,false,false
373415909,,377824740,6077423,,false,false
365879430,,370152513,6055126,,false,false
373351769,,377758068,5816362,,false,false
373392929,,377800467,5872212,,false,false
439294636,,444878034,5967293,,false,false
347287396,,351279280,5844299,,true,false
366256447,,370533290,5881760,,false,false
370070482,,374409517,6017124,,false,false
431760979,,437202441,5936402,,false,false
429700403,,435102313,5970116,,false,false
396458141,,401257763,5946235,,false,false
429718386,,435120827,5998866,,false,false
405547427,,410510570,6062513,,false,false
359512845,,363685038,5916015,,false,false
359513514,,363685702,5916015,,false,false
359511677,,363683898,5970694,,false,false
359510137,,363682388,5829608,,false,false
359512885,,363685080,5832286,,false,false
359514751,,363686941,5944134,,false,false
343909289,,347853047,5791949,,true,false
360351971,,364548188,6017781,,true,false
395560558,,400353272,5995440,,false,false
410243104,,415305403,5959113,,false,false
409456286,,414481844,5986752,,false,false
428325550,,433715300,6526051,,false,false
368362337,,372679138,6118354,,true,false
388627987,,393305632,6062597,,false,false
405323274,,410285587,5885398,,false,false
395575889,,400368674,5911146,,false,false
388652841,,393331169,6037336,,false,false
387552169,,392198299,5948097,,false,false
408118634,,413115084,6137188,,false,false
406266187,,411238124,5919286,,false,false
381487968,,386038550,6016493,,false,false
367653426,,371947398,5898469,,false,false
372293197,,376685363,5994700,,false,false
389506484,,394214054,5831037,,false,false
367585477,,371878080,5953301,,false,false
407014108,,411996784,6032282,,false,false
416542842,,421693802,5999219,,false,false
416526451,,421676958,5878621,,false,false
421535281,,426775676,5813834,,false,false
430476907,,435888029,5814831,,false,false
429646777,,435047596,5880607,,false,false
410161118,,415222537,6506173,,false,false
382843584,,387415367,5934848,,false,false
382844087,,387415866,5812676,,false,false
382841103,,387412890,6048432,,false,false
381069524,,385616533,5806322,,false,false
381069102,,385616124,5880427,,false,false
355844793,,359985292,5952507,,true,false
359033916,,363202485,5935626,,false,false
358467242,,362630081,5942409,,false,false
359038570,,363207194,5943135,,false,false
359036360,,363204986,5796376,,false,false
359040396,,363208903,5999140,,true,false
384742538,,389352236,5969680,,false,false
358538451,,362702450,5994700,,true,false
382347908,,386912861,5878680,,false,false
392877340,,397644832,5914743,,false,false
355916837,,360057834,5896430,,false,false
359030769,,363199332,5998866,,true,false
359033379,,363201862,5998933,,true,false
359036271,,363204899,5792927,,false,false
362596504,,366823911,5991012,,false,false
359040109,,363208742,5991893,,false,false
362561567,,366788502,5993916,,false,false
365732970,,370003106,5907672,,false,false
441096145,,446719302,5947884,,false,false
441082374,,446705138,5968576,,false,false
441088051,,446710958,5813834,,false,false
441083981,,446706792,6145744,,false,false
441083741,,446706539,6077675,,false,false
441092983,,446681661,6124546,,false,false
441098225,,446721441,5973484,,false,false
428549517,,433939640,5821046,,false,false
430741753,,436155780,5919022,,false,false
441606507,,447237499,5958378,,false,false
441606698,,447237679,6619036,,false,false
441626258,,447256999,5896056,,false,false
441624374,,447255121,6826638,,false,false
441623021,,447253759,5821013,,false,false
441625423,,447256166,6110969,,false,false
441622369,,447253123,6780569,,false,false
441625044,,447255786,5813908,,false,false
441620819,,447251576,5837583,,false,false
441624562,,447255307,6115749,,false,false
441618631,,447249403,6484675,,false,false
441663465,,447294657,6076814,,false,false
441667947,,447299285,5936611,,false,false
441666315,,447297612,6155637,,false,false
441669884,,447301243,6454852,,false,false
441632287,,447263042,5937587,,false,false
441630982,,447261736,6121338,,false,false
441630534,,447261290,6814555,,false,false
441635619,,447266406,5898079,,false,false
441626774,,447257510,5864014,,false,false
441627378,,447258123,5864014,,false,false
441634921,,447265696,6140147,,false,false
441628543,,447259298,5999219,,false,false
441632252,,447263005,6124855,,false,false
441625830,,447256579,5919250,,false,false
348052411,,352069066,5809296,,false,false
441343140,,446969449,5888586,,false,false
441378713,,447005109,6910406,,false,false
441341563,,446967839,5966157,,false,false
