ID,CURRENCY,EFFECTIVE_WHEN,TYPE,AMOUNT
407025437,USD,2022-11-23 12:27:21.000000000,ANGAZA_IPN,98
455012778,USD,2023-02-06 13:07:56.000000000,ANGAZA_IPN,72
412058013,USD,2022-12-01 14:01:46.000000000,ANGAZA_IPN,950
408052996,USD,2022-11-24 17:55:15.000000000,ANGAZA_IPN,77
411920338,USD,2022-12-01 05:33:23.000000000,ANGAZA_IPN,700
377649610,USD,2022-10-05 17:12:23.000000000,ANGAZA_IPN,707
435043513,USD,2023-01-05 18:20:48.000000000,ANGAZA_IPN,171
412458879,USD,2022-12-01 18:29:25.000000000,ANGAZA_IPN,800
380980795,USD,2022-10-11 15:07:37.000000000,ANGAZA_IPN,200
478589826,USD,2023-03-15 08:02:36.000000000,ANGAZA_IPN,707
364413206,USD,2022-09-13 10:56:36.000000000,ANGAZA_IPN,200
412577190,USD,2022-12-02 06:14:49.000000000,ANGAZA_IPN,565
423581370,USD,2022-12-19 13:14:46.000000000,ANGAZA_IPN,8
485144953,USD,2023-03-25 11:13:11.000000000,ANGAZA_IPN,100
434107031,USD,2023-01-04 15:48:28.000000000,ANGAZA_IPN,10
493723225,KES,2023-04-07 08:41:29.000000000,ANGAZA_IPN,400
375008975,KES,2022-10-01 15:17:36.000000000,ANGAZA_IPN,658
357220987,KES,2022-08-31 17:36:56.000000000,ANGAZA_IPN,3900
425172073,KES,2022-12-21 17:08:00.000000000,ANGAZA_IPN,567
465917466,KES,2023-02-23 15:39:04.000000000,ANGAZA_IPN,518
417166942,KES,2022-12-09 08:46:20.000000000,ANGAZA_IPN,707
390252854,KES,2022-10-26 18:18:15.000000000,ANGAZA_IPN,660
356883936,KES,2022-08-31 13:15:03.000000000,ANGAZA_IPN,581
463764013,KES,2023-02-20 06:16:57.000000000,ANGAZA_IPN,160
417883349,KES,2022-12-10 13:36:15.000000000,ANGAZA_IPN,847
458017340,KES,2023-02-10 18:45:13.000000000,ANGAZA_IPN,500
385014964,KES,2022-10-18 04:59:16.000000000,ANGAZA_IPN,461
453054179,KES,2023-02-03 10:05:43.000000000,ANGAZA_IPN,100
425202086,KES,2022-12-21 17:22:14.000000000,ANGAZA_IPN,665
369095890,KES,2022-09-21 12:00:15.000000000,ANGAZA_IPN,570
366692669,KES,2022-09-17 09:34:16.000000000,ANGAZA_IPN,100
399619138,KES,2022-11-11 07:50:37.000000000,ANGAZA_IPN,450
470869140,KES,2023-03-03 09:09:31.000000000,ANGAZA_IPN,100
432034810,KES,2023-01-01 05:11:36.000000000,ANGAZA_IPN,1000
368228087,KES,2022-09-19 17:24:24.000000000,ANGAZA_IPN,616
