GROUP_ID,ID,NUMBER,PAYMENT_DUE_DATE,RESPONSIBLE_USER_ID,CREATED_WHEN,REGISTRATION_DATE,BILLING_ID,ORGANIZATION_ID,IS_TESTING,TOTAL_UNCONSUMED_MONEY,NOMINAL_TERM
122046,5928054,662697507,2023-04-20 15:30:03.600000000,130837,2022-09-02 11:26:48.589000000,2022-09-02 11:26:48.580000000,3173615,1062,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
119206,5815610,615116803,2023-04-20 14:01:36.651000000,126151,2022-08-17 12:53:02.915000000,2022-08-17 12:53:02.365000000,3143628,1062,false,0,"{
  ""days"": 357,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120959,5914882,660471509,2023-03-26 23:31:02.156000000,126033,2022-08-31 14:43:11.162000000,2022-08-31 14:43:11.029000000,3167533,1092,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120945,6039046,672794906,2023-04-06 02:21:29.039000000,126033,2022-09-16 10:29:44.928000000,2022-09-16 10:29:44.788000000,3252486,1092,false,0,"{
  ""days"": 181,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120945,6163527,713841708,,126035,2022-10-04 13:09:13.607000000,2022-10-04 13:09:13.468000000,3254805,1092,false,0,"{
  ""days"": 181,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
122075,6116970,712983501,2023-04-15 09:54:04.333000000,130837,2022-09-27 13:35:20.920000000,2022-09-27 13:35:20.911000000,3173644,1062,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
119209,5791285,614733202,2023-04-20 15:28:07.904000000,120879,2022-08-15 08:01:04.993000000,2022-08-15 08:01:04.800000000,3143631,1062,false,0,"{
  ""days"": 357,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120943,5986565,668859101,,126033,2022-09-09 14:14:10.053000000,2022-09-09 14:14:09.789000000,3167517,1092,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
132184,6699561,824909402,2023-04-20 07:56:39.509000000,131345,2022-12-10 11:22:22.377000000,2022-12-10 11:22:22.366000000,3271696,1104,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118933,5824614,615214509,,119289,2022-08-18 13:56:43.070000000,2022-08-18 13:56:42.863000000,3142514,1064,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
125251,6109593,711886903,,119978,2022-09-26 13:29:05.661000000,2022-09-26 13:29:05.424000000,3210640,1063,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
123633,6020685,672277803,,121649,2022-09-14 06:47:56.138000000,2022-09-14 06:47:56.004000000,3183955,1063,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118955,5889375,659140503,2022-12-16 13:58:18.021000000,132174,2022-08-27 15:53:32.783000000,2022-08-27 15:53:32.604000000,3142537,1056,false,150,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120933,6161665,713800902,2023-04-13 10:47:56.950000000,126035,2022-10-04 10:27:37.607000000,2022-10-04 10:27:37.482000000,3445905,1092,false,0,"{
  ""days"": 181,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
119227,5806706,615001500,2023-04-19 15:15:58.862000000,118764,2022-08-16 11:53:00.910000000,2022-08-16 11:53:00.457000000,3143649,1062,false,0,"{
  ""days"": 357,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
122067,6074628,709283105,,120192,2022-09-21 08:44:26.487000000,2022-09-21 08:44:26.461000000,3173636,1062,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120943,5960628,664717600,,126040,2022-09-06 15:34:31.274000000,2022-09-06 15:34:31.085000000,3167517,1092,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118524,5822135,,2022-12-01 04:43:33.339000000,119976,2022-08-18 10:32:57.526000000,2022-08-18 10:32:57.351000000,3135430,1063,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120942,6152771,713640100,2023-04-14 15:31:01.708000000,126034,2022-10-03 07:26:06.717000000,2022-10-03 07:26:06.535000000,3167516,1092,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
133239,6632278,,2022-12-10 08:49:15.332000000,147463,2022-12-03 08:49:15.341000000,2022-12-03 08:49:15.332000000,3339130,1131,true,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
122065,5950195,663853000,,123726,2022-09-05 13:19:29.159000000,2022-09-05 13:19:28.976000000,3173634,1062,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118903,5793700,614735702,,119289,2022-08-15 11:10:39.543000000,2022-08-15 11:10:39.293000000,3142484,1064,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118947,5951047,663853307,,118866,2022-09-05 14:23:49.618000000,2022-09-05 14:23:48.984000000,3142529,1056,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
123693,6067658,679418004,2023-03-11 10:39:41.537000000,135771,2022-09-20 10:12:07.862000000,2022-09-20 10:12:07.661000000,3184015,1063,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118910,6141359,713562403,2023-04-13 17:02:09.141000000,119290,2022-09-30 17:05:41.284000000,2022-09-30 17:05:41.090000000,3142491,1064,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120829,5878620,658793807,2023-03-01 03:05:19.978000000,132727,2022-08-26 09:27:02.009000000,2022-08-26 09:27:01.693000000,3397791,1111,false,0,"{
  ""days"": 181,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
118971,5916443,660473000,,132173,2022-08-31 17:03:20.069000000,2022-08-31 17:03:19.905000000,3142553,1056,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
122088,6092896,709450308,,118764,2022-09-23 12:47:21.363000000,2022-09-23 12:47:21.190000000,3173657,1062,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
120945,5795077,614736700,,126032,2022-08-15 12:35:48.112000000,2022-08-15 12:35:47.926000000,3167519,1092,false,0,"{
  ""days"": 175,
  ""hours"": 0,
  ""minutes"": 0,
  ""months"": 0,
  ""seconds"": 0,
  ""years"": 0
}"
